iter	RMSE
0	0.8744663451
1	0.8549632216
2	0.8364417941
3	0.8180476068
4	0.8005642895
5	0.7855210038
6	0.7708629902
7	0.7565895897
8	0.7424268483
9	0.7294852678
10	0.7174470789
11	0.7068206947
12	0.696118125
13	0.6862409769
14	0.676842013
15	0.667856058
16	0.6588767808
17	0.6504752618
18	0.6422658411
19	0.6346809066
20	0.6294268404
21	0.622540411
22	0.6168199129
23	0.6106322225
24	0.6041114608
25	0.5989538005
26	0.5939707399
27	0.5895117673
28	0.5856112542
29	0.5811060836
30	0.5778356112
31	0.572902399
32	0.5695813242
33	0.5657757506
34	0.5634759481
35	0.5592244061
36	0.5561475593
37	0.5533868897
38	0.5506366705
39	0.5481789488
40	0.545581961
41	0.5430473366
42	0.5407903671
43	0.5381102449
44	0.5359075921
45	0.5340539692
46	0.5317646471
47	0.5301215272
48	0.528027732
49	0.5261849944
50	0.5243867974
51	0.5227374191
52	0.5220181552
53	0.5207522568
54	0.5195451571
55	0.5177908821
56	0.5165395331
57	0.5148781168
58	0.5136262066
59	0.5118280655
60	0.5103591802
61	0.5084539072
62	0.5072501217
63	0.5058640043
64	0.5044594904
65	0.5036439102
66	0.502949766
67	0.5021280955
68	0.5014463394
69	0.5000474146
70	0.4995634035
71	0.4984638476
72	0.4972479368
73	0.4966283169
74	0.4953890565
75	0.4944649154
76	0.493741783
77	0.4921784818
78	0.491199894
79	0.49007257
80	0.4895936823
81	0.4889809229
82	0.4875025421
83	0.4866272236
84	0.4855649953
85	0.4848805438
86	0.4840431047
87	0.4838179502
88	0.4831234448
89	0.482201482
90	0.4813764735
91	0.4805675648
92	0.4796205309
93	0.4781893342
94	0.4771449543
95	0.4766540493
96	0.4759842197
97	0.4752839661
98	0.4748291657
99	0.4740885771
100	0.4727743869
101	0.4722893785
102	0.471443368
103	0.4710245138
104	0.4703239955
105	0.4690802718
106	0.4685866612
107	0.4676811845
108	0.4665500188
109	0.4658635541
110	0.4649660937
111	0.4642717216
112	0.4637900513
113	0.4631121445
114	0.4623540742
115	0.462005298
116	0.4613788259
117	0.4605554364
118	0.4595443928
119	0.4591434023
120	0.4585637509
121	0.4581705667
122	0.457769897
123	0.4572618598
124	0.4565642043
125	0.4565059061
126	0.4561468641
127	0.4557069733
128	0.4550470083
129	0.4544831917
130	0.4530220446
131	0.4521423266
132	0.4514720623
133	0.4510364548
134	0.4503403647
135	0.4498247825
136	0.4490293248
137	0.4482477754
138	0.4472257096
139	0.44660648
140	0.4461336156
141	0.4453463485
142	0.4451112463
143	0.4445219949
144	0.4440877695
145	0.4436340697
146	0.4434632633
147	0.4429292326
148	0.4424445841
149	0.4414327741
150	0.4412242123
151	0.440432448
152	0.4399037861
153	0.4395764248
154	0.4390584599
155	0.438363825
156	0.4377327692
157	0.4371349006
158	0.4364211986
159	0.4359441973
160	0.4350448834
161	0.4340900483
162	0.4334315362
163	0.4327235488
164	0.4323509611
165	0.4321858129
166	0.4316228091
167	0.4310870895
168	0.4308509454
169	0.4304396839
170	0.4299656271
171	0.4296782058
172	0.429026142
173	0.4287790231
174	0.4283051795
175	0.4280044584
176	0.4277557785
177	0.4270666696
178	0.4266339968
179	0.4262355943
180	0.4261119397
181	0.4254442631
182	0.4252135177
183	0.4243651664
184	0.4239567732
185	0.4235765489
186	0.4230272489
187	0.4228233282
188	0.4218575439
189	0.4215107076
190	0.421066847
191	0.4201576902
192	0.4191756528
193	0.4189560688
194	0.4183525335
195	0.4175920594
196	0.4170705831
197	0.4169848082
198	0.4165398119
199	0.416484583
200	0.4162796106
201	0.4158076224
202	0.415710647
203	0.4154584679
204	0.4150079558
205	0.414800269
206	0.4140988558
207	0.4139694048
208	0.4137509658
209	0.4137051687
210	0.4136573835
211	0.4128123049
212	0.4115468979
213	0.4107594461
214	0.410617394
215	0.410033043
216	0.4092808319
217	0.4082686325
218	0.4079036445
219	0.4078409341
220	0.4076822076
221	0.4069616163
222	0.4063092013
223	0.4054469978
224	0.4045931366
225	0.4044387815
226	0.4036294574
227	0.4031366372
228	0.4027812985
229	0.4014954604
230	0.4005659561
231	0.3994221797
232	0.3985442034
233	0.3979271733
234	0.3971057927
235	0.3966621445
236	0.395880708
237	0.3954844472
238	0.3950367851
239	0.3948808657
240	0.3944135152
241	0.3939847023
242	0.3933726607
243	0.3925163303
244	0.3919352745
245	0.3915813625
246	0.3909666615
247	0.3906213132
248	0.3900517014
249	0.390029662
250	0.3895708733
251	0.3888356147
252	0.3883229719
253	0.3882433305
254	0.3876821788
255	0.3872785138
256	0.3868736915
257	0.3860176721
258	0.3854843361
259	0.3845780862
260	0.3840459287
261	0.3838675504
262	0.38370791
263	0.3833204234
264	0.3828372317
265	0.3824051539
266	0.3816778033
267	0.3806970107
268	0.3804141973
269	0.3792538129
270	0.3788763932
271	0.3780892687
272	0.3780609012
273	0.376966267
274	0.3769483892
275	0.376830856
276	0.3758285911
277	0.3750350949
278	0.3742038276
279	0.3738134967
280	0.3731571837
281	0.3724457697
282	0.3723438052
283	0.3723191561
284	0.3718893726
285	0.3711056664
286	0.3705011899
287	0.370150074
288	0.3691699118
289	0.3687040238
290	0.3685795366
291	0.368156274
292	0.3677244352
293	0.3671413359
294	0.366922814
295	0.3660830619
296	0.3656323974
297	0.3650717978
298	0.3648476989
299	0.3644299886
